Id,REFID,Code,Category,LocalName,EnglishName,ScientificName,FrenchNames,Source,ENERGY_kJ,ENERGY_kcal,WATER_g,PROTEIN_g,FAT_g,CHO_g,FIB_g,ASH_g,Ca_mg,Fe_mg,Mg_mg,P_mg,K_mg,Na_mg,Zn_mg,Cu_mg,Mn_mg,VIT_A_RAE_mcg,RETOL_mcg,CARTB_mcg,VITDEQ_mcg,VITE_mg,THIA_mg,RIBF_mg,NIAEQ_mg,VIT_B6_mg,FOL_mcg,VITB12_mcg,VITC_mg,SearchName
75,7a,03_02_05,Grain Legumes and Products,"Bean cake(English), Kosai da mai(Hausa), Akara elepo(Yoruba)","Beans, soaked in water, dehulled, ground, mixed with salt and pepper,fried with Palm oil",,,"033,035,096,055",1153.174,275.293,47.59,13.065,13.457,25.48,,2.36,6.73,2.49,7.04,,1.09,7,1.43,5.13,2.25,,,3395,,,,,,,,,,"Beans, soaked in water, dehulled, ground, mixed with salt and pepper,fried with Palm oil  Bean cake(English), Kosai da mai(Hausa), Akara elepo(Yoruba)"
76,7b,03_02_06,Grain Legumes and Products,"Bean cake(English), Akara olororo(Yoruba)","Beans, soaked in water, dehulled, ground, mixed with salt and pepper,fried with Vegetable oil",,,"033,035",922.818,219.626,53.45,12.09,8.474,23.75,,2.228,8.02,1.23,6.49,,1.3,7.97,1.29,5.1,1.83,,,263,,,,,,,,,,"Beans, soaked in water, dehulled, ground, mixed with salt and pepper,fried with Vegetable oil  Bean cake(English), Akara olororo(Yoruba)"
77,8,03_02_07,Grain Legumes and Products,Ekuru Ewa funfun(Yoruba),"Beans,soaked,dehulled,blended to  Paste with added salt,Steamed into mould (White variety)",,,045,523.9,123.6,69.7,21.2,0.8,7.5,0.8,1,700,8.21,260,380,900,30,4.94,0.66,1.32,,,,,,,,,,,,,"Beans,soaked,dehulled,blended to  Paste with added salt,Steamed into mould (White variety)  Ekuru Ewa funfun(Yoruba)"
78,9a,03_02_08,Grain Legumes and Products,Ekuru Ewa pupa(Yoruba),"Beans,soaked,dehulled,blended to  Paste with added salt,Steamed into mould (Red variety)",,,"045,055",546.65,129,68.35,22.25,1,7.4,0.7,1.1,363.7,10.38,190,375,875,20,4.87,0.56,3.635,,,,,,,,,,,,,"Beans,soaked,dehulled,blended to  Paste with added salt,Steamed into mould (Red variety)  Ekuru Ewa pupa(Yoruba)"
79,9b,03_02_09,Grain Legumes and Products,"Alele da moi(Hausa), Moin-Moin olororo(Yoruba)","Beans,soaked,dehulled,blended to  Paste with added salt, pepper and Vegetable oil,Steamed into mould",,,"033,035",458.008,108.406,73.87,6.47,2.174,15.74,,1.742,3.76,0.88,2.69,,0.77,3.72,0.68,2.86,0.94,,,387,,,,,,,,,,"Beans,soaked,dehulled,blended to  Paste with added salt, pepper and Vegetable oil,Steamed into mould  Alele da moi(Hausa), Moin-Moin olororo(Yoruba)"
80,9c,03_02_10,Grain Legumes and Products,"Alele de manja(Hausa), Moin-Moin elepo(Yoruba)","Beans,soaked,dehulled,blended to  Paste with added salt, pepper and Palm oil,Steamed into mould",,,"096,033,035",436.640,104.202,76.43,6.515,4.894,8.425,0.2,1.771,6.87,0.655,1.96,362,0.63,3.3,2.2,1.91,1.11,1.02,,8000,,,,,,,1.7,,1.5,"Beans,soaked,dehulled,blended to  Paste with added salt, pepper and Palm oil,Steamed into mould  Alele de manja(Hausa), Moin-Moin elepo(Yoruba)"
81,12,03_06_01,Grain Legumes and Products,,"Lima Bean, large, mature seeds, raw",Phaseolus lunatus,,001,1619.81,383.57,10.17,21.46,0.69,63.38,19,4.3,81,7.51,224,385,1724,18,2.83,0.74,1.672,,,,,0.72,0.507,0.202,1.537,0.512,395,,,"Lima Bean, large, mature seeds, raw   Phaseolus lunatus"
82,13a,03_07_01,Grain Legumes and Products,,"Pigeon Pea, mature seeds, raw",Cajanus cajan,,"001,209,129",1440.686,340.502,11.198,22.08,1.938,54.66,8.05,3.788,143.502,4.686,183,358,2111.5,1392,3.09,1.057,1.791,1,,,,,0.643,0.187,2.965,0.283,456,,,"Pigeon Pea, mature seeds, raw   Cajanus cajan"
83,13b,03_07_02,Grain Legumes and Products,,"Pigeon pea, boiled(without salt)",,,"002,001",469.8,111.6,67.9,6.8,0.6,16,7.5,1.2,81,1.5,58,90,387,5,0.65,0.27,0.501,,,4,,,0.15,0.05,0.7,0.07,84,,,"Pigeon pea, boiled(without salt)"
84,14,03_07_03,Grain Legumes and Products,,Pigeon Pea Flour,,,"128,127",1532.025,361.79,6.6,26.315,2.58,55.97,4.715,6.545,0.23,0.12,0.32,,,,0.01,,,,,,,,,,,,,,,Pigeon Pea Flour
85,15a,03_08_01,Grain Legumes and Products,"Bushe she(Hausa),  Soya(Yoruba)","Soybean,Whole,Dried, Raw",Glycine max,,"002,040,130,203",1795.34,428.33,9.267,34.87,17.35,29.8,6.75,4.95,229,7.486,245,468,1740,5,4.035,1.232,2.24,1,,13,,0.72,0.66,0.22,2,0.52,375,,,"Soybean,Whole,Dried, Raw  Bushe she(Hausa),  Soya(Yoruba) Glycine max"
86,15b,03_08_04,Grain Legumes and Products,,"Soya bean, boiled (without salt)",,,"001,002",746.1,178.2,60.6,13.9,7.4,12,4,2.1,86,2.9,91,183,569,2,1.85,0.45,0.824,,,6,,0.35,0.2,0.09,0.6,0.25,82,,,"Soya bean, boiled (without salt)"
87,16,03_08_02,Grain Legumes and Products,,"Soybean,milled,raw",,,131,1852.4,442.7,11.2,30.5,22.1,29,2.9,4.3,,5.5,,,,,,,,,,,,,1,0.5,,,,,18.3,"Soybean,milled,raw"
88,17,03_08_03,Grain Legumes and Products,,"Soybean, soaked,  dehulling, dried, milled into flour",,,094,1930.7,460.4,6.4,38,20,31.1,2,2.5,252,6,300,965,1548,252,,,,,,,,,,,,,,,,"Soybean, soaked,  dehulling, dried, milled into flour"
89,1,04_03_01,Nuts and Seeds,,"African oil bean seed, dehulled, raw",Pentaclethra macrophylla Benth.,,"071,133",2561.991,617.440,7.5,14.978,48.916,28.336,1.970,2.745,31.43,5.63,29.21,35.19,12.72,18.5,0.98,,,,,,,,,,,,,,,"African oil bean seed, dehulled, raw   Pentaclethra macrophylla Benth."
90,3,04_05_01,Nuts and Seeds,,"Achi, Undehulled Brachystegia eurycoma seed",Brachystegia eurycoma,,135,1684.9,401.2,12.5,9.1,15,56,2.9,4.5,0.8,,0.21,0.33,0.17,0.05,,,,,,,,,,,,,,,,"Achi, Undehulled Brachystegia eurycoma seed   Brachystegia eurycoma"
91,4,04_05_02,Nuts and Seeds,,"Achi,dehulled,dried,milled",,,"136,218",1735.31,409.92,10.6,8.75,4.92,90.26,1.4,2.07,,,,,,,,,,,,,,,,,,,,9.39,,"Achi,dehulled,dried,milled"
92,6a,04_07_01,Nuts and Seeds,"Kwaruru(Hausa), Okpa(Igbo), Epa-riro(Yoruba)","Bambara Groundnut, white, Dried, Raw",Voandzeia subterranea,,002,1609.7,381.1,7.9,20,6.5,58.8,3.7,3.1,50,3.3,185,309,1370,28,2.39,0.82,,,,,,,0.39,0.12,1.9,,,,,"Bambara Groundnut, white, Dried, Raw  Kwaruru(Hausa), Okpa(Igbo), Epa-riro(Yoruba) Voandzeia subterranea"
93,6b,04_07_03,Nuts and Seeds,,"Bambara groundnuts, white, boiled(without salt)",,,002,596.4,141.2,65.9,7.4,2.4,21.8,1.4,1.2,16,1,58,103,380,8,0.8,0.21,,,,,,,,,,,,,,"Bambara groundnuts, white, boiled(without salt)"
94,7,04_07_02,Nuts and Seeds,,"Bambara Groundnut, Flour",,,"014,138",1557.785,368.47,12.77,22.105,5.79,56.01,1.95,3.315,,5.51,,,,,12.82,,,,,,,,,,,,,,,"Bambara Groundnut, Flour"
95,8a,04_08_01,Nuts and Seeds,"Ridi(Hausa), Gogo(Yoruba)","Beniseed , whole, dried,Raw",sesamum alatum,,"001,044",2475.775,597.275,5.545,17.415,46.835,22.425,8.2,5.475,281.1,9.19,351,157,106.7,23.55,6.105,4.082,,,,,,0.25,0.791,0.247,4.515,0.79,97,,,"Beniseed , whole, dried,Raw  Ridi(Hausa), Gogo(Yoruba) sesamum alatum"
96,10,04_08_04,Nuts and Seeds,,"Beniseed , whole,roasted",,,001,2613.9,630.8,3.3,16.96,48,25.74,14,6,989,14.76,356,638,475,11,7.16,2.47,,,,,,,0.803,0.251,4.581,0.802,98,,,"Beniseed , whole,roasted"
97,11,04_10_01,Nuts and Seeds,"Mijin goro(Hausa), Aki ilu(Igbo), Orogbo(Yoruba), Efiat(Ibibio)","Bitter cola, Raw",Garcina cola,,019,856.75,203.53,60.48,2.48,4.51,35.64,5.23,1.5,67.07,6.1,114.83,188.57,722.1,,2.3,,,,,,,,,,,,,,,"Bitter cola, Raw  Mijin goro(Hausa), Aki ilu(Igbo), Orogbo(Yoruba), Efiat(Ibibio) Garcina cola"
98,12,04_11_01,Nuts and Seeds,"Kashu(Hausa), Kasu(Yoruba), Kasu(Ibibio)","Cashew , nuts,  raw",Anacardium occidentale,,001,2471.82,594.89,5.2,18.22,43.85,30.19,3.3,2.54,37,6.68,292,593,660,12,5.78,2.195,,,,,,,0.423,0.058,1.062,0.417,25,,0.5,"Cashew , nuts,  raw  Kashu(Hausa), Kasu(Yoruba), Kasu(Ibibio) Anacardium occidentale"
99,13,04_11_02,Nuts and Seeds,,"Cashew , nuts, dry roasted,without salt",,,001,2554.95,615.15,1.7,15.31,46.35,32.69,3,3.95,45,6,260,490,565,16,5.6,2.22,,,,,,0.92,0.2,0.2,1.4,0.256,69,,,"Cashew , nuts, dry roasted,without salt"
100,14,04_12_01,Nuts and Seeds,,"Coconut , Immature, Kernel, Fresh",Cocos nucifera,,002,667,161.3,74,1.6,13.5,6.7,3.3,0.8,19,2.2,17,111,218,8,0.39,0.19,,,,,,0.27,0.07,0.05,0.6,0.02,12,,2,"Coconut , Immature, Kernel, Fresh   Cocos nucifera"
101,15,04_12_02,Nuts and Seeds,"Kwakwa(Hausa), Aki bekee(Igbo), Agbon(Yoruba), Isip mbakara(Ibibio)","Coconut ,Mature, Kernel, Fresh",,,"002,085",1584.75,384.95,42.55,3.4,36.45,5.1,11.45,1,15,2.25,38,100,427.5,19.5,0.84,1.42,,,,,,0.73,0.035,0.02,0.5,0.05,27,,2.1,"Coconut ,Mature, Kernel, Fresh  Kwakwa(Hausa), Aki bekee(Igbo), Agbon(Yoruba), Isip mbakara(Ibibio)"
102,16,04_12_03,Nuts and Seeds,,"Coconut ,Mature, Kernel, Dry",,,002,2496.5,606,8.6,5.9,56.4,10.2,17,1.9,32,3.4,74,177,617,33,1.5,0.8,,,,,,1.2,0.08,0.08,0.9,0.08,26,,0.3,"Coconut ,Mature, Kernel, Dry"
103,17,04_12_04,Nuts and Seeds,,Coconut milk,,,002,899.9,218.5,71.1,2.1,22.1,1.7,2.2,0.7,17,2.7,43,97,234,14,0.64,0.23,,,,,,0.7,0.03,0.02,0.7,0.03,15,,1.6,Coconut milk
104,18,04_12_05,Nuts and Seeds,,Coconut water,,,002,86.2,20.5,94.3,0.4,0.3,3.5,1.1,0.4,24,0.2,24,23,270,86,0.1,0.04,,,,,,,0.03,0.07,0.1,0.03,3,,2.1,Coconut water
105,19a,04_13_01,Nuts and Seeds,"Goron(Hausa), Ogbono (Igbo), Apon(Yoruba), Ajop(Ibibio)","Dika nut, Kernel, undehulled, Raw",Irvingia gabonensis,,"002,085",2940.45,712.1,5.15,7.7,67.9,16.45,2.2,1.6,145,3.4,,202,,2,0.29,0.14,,,,,,,0.19,0.095,0.7,,,,,"Dika nut, Kernel, undehulled, Raw  Goron(Hausa), Ogbono (Igbo), Apon(Yoruba), Ajop(Ibibio) Irvingia gabonensis"
106,19b,04_13_02,Nuts and Seeds,,"Dikanut, dehulled, raw",Irvingia gabonensis,,073,2844.48,687.76,5.93,8.71,62.8,21.93,,0.63,,0.315,,,15.6,2.02,0.285,0.139,,,,,,,,,,,,,,"Dikanut, dehulled, raw   Irvingia gabonensis"
107,20,04_14_01,Nuts and Seeds,"Aku ekese(Igbo), Epa(Yoruba), Mmasan(Ibibio)","Groundnut, Raw, Dried",Arachis hypogea,,"002,040,018,130",2432.47,586.333,7.095,23.5,45.767,17.87,4.477,2.35,35.393,2.931,0.18,0.68,0.47,0.71,4.699,1.056,2.95,,,,,10.9,0.87,0.14,15.5,0.59,110,,,"Groundnut, Raw, Dried  Aku ekese(Igbo), Epa(Yoruba), Mmasan(Ibibio) Arachis hypogea"
108,22,04_14_03,Nuts and Seeds,,"Groundnut  ,Roasted",,,018,2633.15,633.26,1.035,18.4,45.6,36.11,2.41,1.41,1.35,0.47,0.24,0.69,0.55,0.57,,,,,,,,,,,,,,,,"Groundnut  ,Roasted"
109,23,04_15_01,Nuts and Seeds,"Goro(Hausa), Oji(Igbo), Obi(Yoruba), Ibong(Ibibio)","Kolanut  , Fresh, Raw",Cola nitida,,"002,019",621.515,146.58,62.3,2.765,0.4,32.03,1.9,1.3,44,9.215,71,86,,,,0.15,,,,,,,0.04,0.02,0.7,,,,,"Kolanut  , Fresh, Raw  Goro(Hausa), Oji(Igbo), Obi(Yoruba), Ibong(Ibibio) Cola nitida"
110,24,04_19_155,Nuts and Seeds,Aku (Igbo),Palm kernel seed,Elaeis guineensis,,073,2515.34,607.78,14.26,6.94,54.18,23.1,,1.5,,0.132,,,13.4,1.47,0.32,0.162,,,,,,,,,,,,,,Palm kernel seed  Aku (Igbo) Elaeis guineensis
111,27a,04_23_01,Nuts and Seeds,"Aya(Hausa), Ofio(Yoruba), Isip Isong(Ibibio)",Tiger nut (Raw),Cyperus esculantus,,143,2009.14,482.38,4.69,4.27,27.44,47.91,13.35,2.32,,,,,,,,,,,,,,,,,,,,,,"Tiger nut (Raw)  Aya(Hausa), Ofio(Yoruba), Isip Isong(Ibibio) Cyperus esculantus"
112,27b,04_23_02,Nuts and Seeds,,Tiger nut flour,Cyperus esculentus L.,,129,1697.5,403.8,10.2,10.1,13.2,59,4.3,3.1,132.81,0.76,,119.5,,,0.04,,,,,,,,,,,,,,,Tiger nut flour   Cyperus esculentus L.
113,1,05_01_01,Vegetables and Products,"Danyen kabaji(Hausa), Gabeeji(Yoruba)","Cabbage , Raw",Brassica spp,,001,144.06,34.22,92.18,1.28,0.1,5.8,2.5,0.64,40,0.47,12,26,170,18,0.18,0.019,0.16,5,,42,,0.15,0.061,0.04,0.234,0.124,43,,36.6,"Cabbage , Raw  Danyen kabaji(Hausa), Gabeeji(Yoruba) Brassica spp"
114,2,05_02_02,Vegetables and Products,"Danyen karas(Hausa), Karooti(Yoruba)","Carrot , Fresh, Raw",Daucus carota,,001,209.95,49.8,88.29,0.93,0.24,9.58,2.8,0.97,33,0.3,12,35,320,69,0.24,0.045,0.413,16706,,8285,,0.66,0.066,0.058,0.983,0.138,19,,59,"Carrot , Fresh, Raw  Danyen karas(Hausa), Karooti(Yoruba) Daucus carota"
115,3a,05_03_01,Vegetables and Products,"Ganyen gwaza(Hausa), Akwukwo ede(Igbo), Ewe koko(Yoruba), Ikopong(Ibibio)","Cocoyam,  Leaves,raw",Colocasia  esculenta,,"002,043",202.827,48.56,86.5,3.3,1.137,4.15,4.265,1.65,108.5,2.7,34.5,55.5,508.89,4.5,0.655,0.835,,376,,4237,,2.02,1.925,0.357,1,1.33,125,,36.07,"Cocoyam,  Leaves,raw  Ganyen gwaza(Hausa), Akwukwo ede(Igbo), Ewe koko(Yoruba), Ikopong(Ibibio) Colocasia  esculenta"
116,4a,05_04_01,Vegetables and Products,Gulli da bavo(Hausa),"Cucumber  , Fresh, with peel, raw",Cucumis sativus,,001,80.83,19.11,95.23,0.65,0.11,3.63,0.5,0.38,16,0.28,13,24,147,2,0.2,0.041,0.079,,5,,,,0.03,0.027,0.033,0.098,0.04,7,,"Cucumber  , Fresh, with peel, raw  Gulli da bavo(Hausa) Cucumis sativus"
117,4b,05_04_02,Vegetables and Products,Fededden gulli(Hausa),"Cucumber  , Fresh, peeled, raw",,,"001,027",58.27,13.84,96.73,0.59,0.16,2.16,0.7,0.36,14,0.22,12,21,136,2,0.17,0.071,0.073,,4,,,,0.03,0.031,0.025,0.037,0.051,14,,"Cucumber  , Fresh, peeled, raw  Fededden gulli(Hausa)"
118,5,05_05_01,Vegetables and Products,"Ganyen yalo(Hausa), Akwukwo anara(Igbo), Efo igba(Yoruba)","Egg plant , Fresh, Raw",Solanum melongena,,"001,023",148,34.97,89.66,1.57,0.15,6.4,0.87,1.42,9,2.14,93,168,698,373,3.49,1.72,3.21,1,,14,,,0.039,0.037,0.649,0.084,22,,2.2,"Egg plant , Fresh, Raw  Ganyen yalo(Hausa), Akwukwo anara(Igbo), Efo igba(Yoruba) Solanum melongena"
119,7,05_07_01,Vegetables and Products,"Aleyefo danye(Hausa), Akwukwo(Igbo)","Amaranthus leaves, raw",Amaranthus spp,,"001,085,043",371.808,88.59,82.022,6.335,1.223,9.89,6.34,3.247,232.5,4.09,55,71,377,58.335,1.2,0.141,0.522,146,,3996.5,,,0.792,0.149,2.296,1.216,85,0.020,43.525,"Amaranthus leaves, raw  Aleyefo danye(Hausa), Akwukwo(Igbo) Amaranthus spp"
120,9,05_07_03,Vegetables and Products,,"Amaranth leaves, cooked",,,085,230.7,54.7,85,4,0.9,7,1.3,3.5,506,1.7,,62,,,,,,228,,1700,,0.25,0.03,0.23,0.6,0.13,42,,3,"Amaranth leaves, cooked"
121,10a,05_08_01,Vegetables and Products,"Kuka(Hausa), Ewe ose(Yoruba)","Baobab ,Leaves,  fresh, raw",Adansonia digitata,,002,298.8,71.3,76.7,3.9,0.5,9.2,7.2,2.8,313,3.9,52,85,391,6,0.9,0.18,,197,,2360,,1.42,0.03,0.04,1.9,0.3,118,,47,"Baobab ,Leaves,  fresh, raw  Kuka(Hausa), Ewe ose(Yoruba) Adansonia digitata"
122,10b,05_08_02,Vegetables and Products,,"Baobab , Leaves, dried",,,002,1137.8,271.7,7.5,13.7,2.1,35.2,28.6,12.9,1240,15.4,206,355,1550,24,3.6,0.72,,130,,1560,,5.63,0.1,0.15,6.1,1.1,364,,19,"Baobab , Leaves, dried"
123,11,05_09_01,Vegetables and Products,"Laho(Hausa), Efinrin(Yoruba)","Basil leaves  , Fresh,Raw",Ocimum basilicum,,"001,046",187.7,44.9,86.9,3,0.9,4.2,4,1,15.7,0.3,14.3,39.3,30.7,11.3,3.7,0.3,5.3,264,,571.6,,0.8,0.18,0.14,0.27,0.155,68,,36.47,"Basil leaves  , Fresh,Raw  Laho(Hausa), Efinrin(Yoruba) Ocimum basilicum"
124,12,05_09_02,Vegetables and Products,,"Basil leaves  , Dried",Ocimum basilicum,,046,1252.9,297.5,7,11.4,3.7,47.8,13.7,16.4,256.7,2.4,340,466.7,323.3,206.7,4.1,5.4,6.1,,,871,,,0.07,0.03,0.11,,,,11.87,"Basil leaves  , Dried   Ocimum basilicum"
125,14,05_10_02,Vegetables and Products,"Ganyen rogo(Hausa), Akwukwo ji akpu(Igbo), Ewe ege(Yoruba), Nfang iwa(Ibibio), Ikong iwa (Efik)","Casava leaf, fresh, raw",Manihot esculenta,,"214,002",388.1,92,75.8,8.1,1.4,10.6,2.3,1.2,276,5.5,58,106,,6,0.69,0.16,,286,,3430,,2.4,0.25,0.46,1.6,0.3,118,,39,"Casava leaf, fresh, raw  Ganyen rogo(Hausa), Akwukwo ji akpu(Igbo), Ewe ege(Yoruba), Nfang iwa(Ibibio), Ikong iwa (Efik) Manihot esculenta"
126,16,05_11_01,Vegetables and Products,Iyana paja(Yoruba),"Cnidoscolus  chayamansa, Fresh, Raw",Cnidoscolus  chayamansa,,021,285.43,67.48,82,5.91,0.72,8.88,0.92,1.57,2.76,2.106,0.011,,0.040,0.116,0.853,0.078,1.932,,,,,,,,,,,,,"Cnidoscolus  chayamansa, Fresh, Raw  Iyana paja(Yoruba) Cnidoscolus  chayamansa"
127,17,05_13_01,Vegetables and Products,"Ganyen yalo(Hausa), Akwukwo(Igbo)","Egg plant leaf, raw",,,"002,023",136.51,32.39,90.01,4.38,0.51,2.06,1.02,2,420.9,1.61,115,198,633,304,2.28,1.45,2.09,296,,3550,,1.95,0.15,0.4,1.4,0.6,118,,79,"Egg plant leaf, raw  Ganyen yalo(Hausa), Akwukwo(Igbo)"
128,18,05_14_21,Vegetables and Products,Afang(Ibibio),"Gnetum africanum, fresh, raw",Gnetum africanum,,067,198.54,46.92,85.84,4.82,0.2,5.84,1.24,2.06,203.63,9.6,43.67,42.47,226.4,101.3,6.37,4.03,2.57,,,708.8,,,,,,,,,48.66,"Gnetum africanum, fresh, raw  Afang(Ibibio) Gnetum africanum"
129,19,05_15_22,Vegetables and Products,Atama(Ibibio),"Heinsia crinita, fresh, raw",,,067,221.45,52.36,84.66,5.82,0.32,5.87,1.36,1.96,198.63,6.43,38.77,38.63,216.43,96.33,4.5,2.3,1.83,,,625.3,,,,,,,,,43.81,"Heinsia crinita, fresh, raw  Atama(Ibibio)"
130,20,05_16_01,Vegetables and Products,Ewe-ti(Yoruba),"Lemon grass, Raw",,,001,479.34,112.93,70.58,1.82,0.49,25.31,,1.8,65,8.17,60,101,723,6,2.23,0.266,5.224,,,3,,,0.065,0.135,1.101,0.08,75,,2.6,"Lemon grass, Raw  Ewe-ti(Yoruba)"
131,21,05_17_01,Vegetables and Products,,"Moringa Oleifera leaves, raw",Moringa oleifera,,043,222,52.5,83.2,4.2,0.9,6.9,,3.2,220,0.8,3.6,42,350,420,8.5,,,,,,,,,,,,,,,"Moringa Oleifera leaves, raw   Moringa oleifera"
132,22,05_17_02,Vegetables and Products,Moringa,"Moringa Oleifera, powder",,,203,1403.06,333.19,7.51,31.01,3.19,36.1,18.02,4.01,,,,,,,,,,,,,,,,,,,,,,"Moringa Oleifera, powder  Moringa"
133,23,05_18_01,Vegetables and Products,,Pumpkin leaves,Cucurbita spp,,001,93.16,21.92,92.88,3.15,,2.33,,1.24,39,2.22,38,104,436,11,0.2,0.133,0.355,97,,,,,0.094,0.128,0.92,0.207,36,,11,Pumpkin leaves   Cucurbita spp
134,24,05_19_01,Vegetables and Products,,Solanum macrocarpin,,,024,769.13,182.71,,23.2,1.67,13.42,10.6,11.67,870,72.5,1198,122.84,595,680,4.5,1.6,,,,,,,,,,,,,,Solanum macrocarpin
135,25,05_20_01,Vegetables and Products,Ogumo(Yoruba),Solanum  nodiflorum(fresh),,,021,219.99,52.11,85,3.31,0.87,7.37,0.78,2.67,0.004,1.638,0.003,,0.002,0.28,0.488,0.055,1.163,,,,,,,,,,,,,Solanum  nodiflorum(fresh)  Ogumo(Yoruba)
136,26,05_21_01,Vegetables and Products,Worowo(Yoruba),"Senecio  biafrae, fresh, raw",,,"021,025",190.965,45.575,84.665,3.63,0.685,4.35,3.745,2.935,59.54,2.222,13.655,132.81,228.86,0.26,1.122,1.942,1.111,,,,,,,,,,,,45.23,"Senecio  biafrae, fresh, raw  Worowo(Yoruba)"
137,27,05_22_01,Vegetables and Products,"Ganyen dankali(Hausa), Ewe Anamo(Yoruba)",Sweet potato leaves   fresh,Ipomea batatas,,001,253.54,60.43,86.81,2.49,0.51,8.82,5.3,1.36,78,0.97,70,81,508,6,,,,189,,2217,,,0.156,0.345,1.13,0.19,,,11,"Sweet potato leaves   fresh  Ganyen dankali(Hausa), Ewe Anamo(Yoruba) Ipomea batatas"
138,29,05_23_02,Vegetables and Products,"Yakuwa(Hausa), Gbure(Yoruba), Mmomong Ikong(Ibibio)",Water leaf Fresh (sundried),Talinum triangulae,,"176,085",161,38,89,4.6,,4.4,1,,2.44,0.43,2.22,,6.1,0.28,,,,,,,,,,,,,,,280,"Water leaf Fresh (sundried)  Yakuwa(Hausa), Gbure(Yoruba), Mmomong Ikong(Ibibio) Talinum triangulae"
139,30,05_24_01,Vegetables and Products,"Ganyen  tsamiya(Hausa), Awin(Yoruba)","Tamarind, Leaves, raw",Tamarindus indica,,002,414.8,98.7,74.3,4,2.1,13.9,4.1,1.6,403,5.2,71,81,292,4,0.72,0.07,,21,,250,,,0.17,0.11,3.5,0.3,117,,5,"Tamarind, Leaves, raw  Ganyen  tsamiya(Hausa), Awin(Yoruba) Tamarindus indica"
140,31,05_25_01,Vegetables and Products,,Taro leaves,Colocasia esculenta,,001,255.54,60.78,85.66,4.98,0.74,6.7,3.7,1.92,107,2.25,45,60,648,3,0.41,0.27,0.714,241,,2895,,,0.209,0.456,1.513,0.146,126,,52,Taro leaves   Colocasia esculenta
141,32,05_26_01,Vegetables and Products,"Danyen kabewa(Hausa), Akwukwo ugwu(Igbo),Ewe Elegede(Yoruba), Ikong ubong (Efik)","Fluted pumpkin leaves,fresh,mature",Telfairia occidentalis,,"176,067,198,202",255.558,61.035,85.772,3.57,2.19,5.658,2.208,2.27,213.57,12.7,51.37,44.67,234.5,103.43,6.7,4.53,2.97,,,916.43,,,,,,,,,208.655,"Fluted pumpkin leaves,fresh,mature  Danyen kabewa(Hausa), Akwukwo ugwu(Igbo),Ewe Elegede(Yoruba), Ikong ubong (Efik) Telfairia occidentalis"
142,33,05_26_02,Vegetables and Products,,"Fluted pumpkin seeds,peeled,raw",Telfairia occidentalis,,"205,198",1207.45,289.63,48.67,28.09,18.43,2.41,0.88,1.53,,,,,,,,,,,,,,,,,,,,,,"Fluted pumpkin seeds,peeled,raw   Telfairia occidentalis"
143,34,05_26_03,Vegetables and Products,,"Fluted pumpkin seeds,peeled,boiled",Telfairia occidentalis,,205,1108.65,265.41,50.7,26.93,15.15,4.93,0.81,1.54,,,,,,,,,,,,,,,,,,,,,,"Fluted pumpkin seeds,peeled,boiled   Telfairia occidentalis"
144,35a,05_27_01,Vegetables and Products,"Ero(Igbo), Olu(Yoruba), Mkprifik udip (Efik)","Mushroom , White, raw",Agaricus spp,,001,128.53,30.46,92.45,3.09,0.34,3.26,1,0.85,3,0.5,9,86,318,5,0.52,0.318,0.047,,,,,0.01,0.081,0.402,3.607,0.104,17,0.04,2.1,"Mushroom , White, raw  Ero(Igbo), Olu(Yoruba), Mkprifik udip (Efik) Agaricus spp"
145,35b,05_27_02,Vegetables and Products,,"Mushroom, Pleurotus, wild, fresh, raw",Pleurotus tuber-regium,,215,1319.2,310.7,17.3,31.7,0.5,44.2,1.3,5.1,370,1.1,66,,21,,,0.12,,,,,,,0.09,0.21,,,,4230,3.02,"Mushroom, Pleurotus, wild, fresh, raw   Pleurotus tuber-regium"
146,35d,05_27_04,Vegetables and Products,,"mushroom, Pleurotus, cultivated, fresh, raw",Pleurotus tuber-regium,,"020,215",1323.3,311.6,18.7,33.8,0.6,42.5,0.5,4.4,227,3.2,62,,24,,,0.2,,,,,,,0.9,0.18,,,,4230,9.7,"mushroom, Pleurotus, cultivated, fresh, raw   Pleurotus tuber-regium"
147,36,05_28_01,Vegetables and Products,"Kubew(Hausa), Okwuru(Igbo), Ila(Yoruba), Ateke(Ibibio), Ikong Etighi (Efik)","Okro,green pod,fresh,raw",Abelmoschus esculentus,,"001,085,198,151",250.675,59.645,86.17,2.71,1.475,7.91,1.945,1.15,82,0.62,57,61,299,7,0.58,0.109,0.788,716,,416,,0.27,0.2,0.06,1,0.215,60,,23,"Okro,green pod,fresh,raw  Kubew(Hausa), Okwuru(Igbo), Ila(Yoruba), Ateke(Ibibio), Ikong Etighi (Efik) Abelmoschus esculentus"
148,38,05_28_03,Vegetables and Products,,"Okro leaves,fresh",Abelmoschus esculentus,,"190,002,198",471.96,112.48,62.22,8.84,1.24,11.96,9.06,6.66,,2.07,,0.39,,,2.13,0.05,,56,,1120,,0.73,0.16,0.41,0.2,0.3,118,,36,"Okro leaves,fresh   Abelmoschus esculentus"
